id,x,y,z,ablated,v,bulkheadyoungs,nickdepth,nickw,nickc,bbmin
1045,-0.29453,3.43262,0.641006,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
59,-0.32248,3.43286,0.496872,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
187,-0.24417,3.43216,0.773748,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
1045,-0.29453,3.43262,0.641006,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
616,-0.169447,3.43159,0.882984,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
187,-0.24417,3.43216,0.773748,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
16,-0.0770539,3.43104,0.963998,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
616,-0.169447,3.43159,0.882984,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
16,-0.0770539,3.43104,0.963998,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
615,0.0237318,3.43065,1.00928,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
615,0.0237318,3.43065,1.00928,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
186,0.125026,3.43053,1.02309,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
186,0.125026,3.43053,1.02309,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
1044,0.226324,3.43065,1.00927,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
1044,0.226324,3.43065,1.00927,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
38,0.327109,3.43104,0.963983,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
38,0.327109,3.43104,0.963983,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
664,0.419496,3.43159,0.882975,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
664,0.419496,3.43159,0.882975,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
235,0.49421,3.43216,0.773746,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
235,0.49421,3.43216,0.773746,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
1093,0.544556,3.43261,0.641011,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
1093,0.544556,3.43261,0.641011,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
60,0.572511,3.43286,0.496896,0,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
1045,-0.32281,3.43249,0.648671,1,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
59,-0.349247,3.43268,0.501632,1,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
187,-0.262118,3.43204,0.78007,1,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
1045,-0.32281,3.43249,0.648671,1,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
616,-0.176944,3.43144,0.88363,1,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
187,-0.262118,3.43204,0.78007,1,3.49222,0.316,0.816119,0.198611,0.124843,0.518202
